timestamp,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz
200465.225817,0.482864,0.163959,0.009188,-0.028902,0.008901,-0.008482,0.999381,0.012454,-0.031672,-0.008966,0.122015,-0.262335,0.002400,0.271781,-0.884957,1.938681,0.009220
200465.430038,0.481412,0.159958,0.014999,0.010906,0.017694,-0.012153,0.999950,-0.003258,0.002056,-0.009192,0.132834,-0.299559,0.000634,0.247674,1.093681,-2.361342,0.019650
200465.480152,0.481958,0.160843,0.014392,0.012819,0.020665,-0.044011,0.999943,-0.000006,-0.005463,-0.009158,0.187525,-0.417622,0.001192,0.266393,-0.008730,0.237134,0.017753
200465.530253,0.482599,0.161876,0.012191,0.007430,0.020720,-0.041219,0.999821,0.004586,-0.015945,-0.009102,0.187107,-0.405757,0.001697,0.274335,-0.663481,1.795421,0.017762
200465.580431,0.482970,0.162912,0.010130,-0.008811,0.016209,-0.023970,0.999576,0.009169,-0.026128,-0.009031,0.153959,-0.315974,0.002202,0.275053,-0.844496,2.045935,0.020559
200465.630542,0.482530,0.163722,0.008932,-0.035502,0.007112,-0.005894,0.999296,0.012943,-0.034058,-0.008948,0.111761,-0.213665,0.002786,0.271813,-1.039920,2.434568,0.019353
200465.838347,0.481415,0.159963,0.014999,0.010967,0.017793,-0.012174,0.999950,-0.003258,0.002056,-0.009192,0.128035,-0.268196,0.000752,0.248928,1.048253,-2.213790,0.029564
200465.888460,0.481964,0.160853,0.014391,0.012890,0.020779,-0.041710,0.999947,-0.000119,-0.004678,-0.009158,0.180455,-0.378882,0.001592,0.265960,0.066663,-0.109077,0.029528
200465.938580,0.482608,0.161891,0.012305,0.008283,0.020938,-0.039713,0.999849,0.004305,-0.014190,-0.009095,0.183811,-0.384325,0.002431,0.273087,-0.534903,1.197216,0.027335
200465.988755,0.483022,0.162938,0.010320,-0.006107,0.016714,-0.024720,0.999636,0.008811,-0.023838,-0.009010,0.157101,-0.324448,0.003208,0.274171,-0.887660,1.843970,0.024507
200466.038867,0.482717,0.163774,0.009084,-0.030384,0.007989,-0.008152,0.999369,0.012662,-0.031981,-0.008907,0.112758,-0.232230,0.003905,0.272095,-1.001908,2.174198,0.021358
200466.249186,0.481454,0.160024,0.014999,0.011112,0.018029,-0.012174,0.999950,-0.003258,0.002056,-0.009192,0.127819,-0.274871,0.000982,0.248843,1.072780,-2.294072,0.034669
200466.299343,0.482010,0.160925,0.014390,0.013034,0.021014,-0.041867,0.999946,-0.000126,-0.004845,-0.009151,0.181468,-0.389570,0.001968,0.265991,0.080234,-0.099774,0.032642
200466.349506,0.482661,0.161976,0.012297,0.008263,0.021182,-0.039814,0.999843,0.004321,-0.014624,-0.009079,0.185509,-0.394545,0.002896,0.273273,-0.536545,1.269564,0.029133
200466.399638,0.483074,0.163035,0.010306,-0.006576,0.016943,-0.024489,0.999619,0.008867,-0.024527,-0.008980,0.158725,-0.331047,0.003724,0.274345,-0.846798,1.886298,0.024767
200466.449766,0.482746,0.163882,0.009082,-0.031570,0.008160,-0.007635,0.999340,0.012757,-0.032835,-0.008863,0.116432,-0.236710,0.004428,0.272096,-0.976280,2.199882,0.020440
200466.654552,0.481460,0.160034,0.014999,0.011227,0.018220,-0.012166,0.999950,-0.003258,0.002056,-0.009192,0.130506,-0.281490,0.000935,0.248436,1.089963,-2.313351,0.031805
200466.704662,0.482021,0.160945,0.014391,0.013146,0.021200,-0.042612,0.999946,-0.000060,-0.005011,-0.009152,0.185014,-0.397153,0.001839,0.266081,0.047250,-0.005422,0.029495
200466.754816,0.482678,0.162005,0.012260,0.008208,0.021304,-0.040395,0.999837,0.004474,-0.014981,-0.009082,0.187404,-0.397411,0.002678,0.273597,-0.596279,1.420606,0.026357
200466.804938,0.483089,0.163070,0.010240,-0.007011,0.016910,-0.024481,0.999607,0.009066,-0.024956,-0.008989,0.157631,-0.326362,0.003427,0.274589,-0.869783,1.947664,0.023159
200466.855063,0.482738,0.163915,0.009016,-0.032464,0.007921,-0.007200,0.999327,0.012930,-0.033146,-0.008878,0.114184,-0.228958,0.004085,0.272055,-1.021415,2.291580,0.019418
200467.060685,0.481459,0.160032,0.014999,0.011211,0.018189,-0.012168,0.999950,-0.003258,0.002056,-0.009192,0.133033,-0.274842,0.000787,0.248616,1.057368,-2.292196,0.033613
